30	dbrand makes great precision cut vinyl 1
2820	skins for your mobile devices game 1
4440	consoles and game controllers you can 1
6120	check them out at the link in the video 1
7440	description so we are here in the 1
11490	gigabyte booth where they are focused 0
13769	mostly on their server stuff and this is 0
17010	my first encounter with an AMD epic 0
20369	server out in the wild like not actually 0
23519	at AMD's headquarters so this guy right 0
25890	here is got 6 nvme and 18 SATA drives it 0
29760	accepts up to 2 32 cores 64 thread epoch 0
33719	servers for a total of 128 threads not 0
38370	to mention that it can hold up to 4 0
41180	terabytes of memory if you've got oh I 0
44309	don't know about a hundred and fifteen 0
45809	thousand dollars to spend on your Ram 0
48210	Prayer system this one is designed more 0
51000	around versatility so you can throw a 0
53039	couple of Radeon Instinct mi-25 cards in 0
56039	the back throw some storage and throw 0
58050	some randon whatever the case may be but 0
60539	we're gonna see some really interesting 0
62129	designs moving forward with epic because 0
64140	as big data becomes more ubiquitous 0
66229	memory to store that information during 0
68850	processing becomes more and more 0
70490	important so high density high bandwidth 0
74189	memory solutions are an extreme demand 0
76770	right now and AMD is providing more no 0
79740	memory capacity and Mongo memory 0
82049	bandwidth and they're doing it 0
83430	relatively speaking on the cheap so 0
86759	Intel is currently charging about 0
89659	$10,000 for their flagship Xeon scalable 0
93000	while AMD is topping out at around 0
95960	$4,200 and changing gears entirely 0
99979	there's even more to be excited about so 0
102540	let's have a quick look at this guy 0
103680	right here in the same to you form 0
105600	factor this guy takes two Intel Xeon 0
108630	Platinum CPUs up to 24 dims and up to 0
113610	eight just perfectly normal GPUs each 0
117270	running at PCI 0
118740	16x thanks to these little riser boards 0
121799	with plx chips on them 0
123479	now hold on Linus you're talking about 0
125280	Intel all of a sudden epic comes back 0
127680	into the picture here because thanks to 0
129360	epics 128 PCI Express Lanes gigabyte has 0
134190	told us that they're actually planning a 0
136080	follow up to this particular model with 0
139110	a single epic CPU so not only could you 0
141810	be saving money on the CPUs you're 0
143730	buying you could actually be buying half 0
146310	as many of them with tons of memory 0
149489	bandwidth and tons of GPU support with 0
152220	no speed compromise so on a large scale 0
155760	these cost savings are going to be 0
158190	making huge waves in the deep learning 0
161700	space and on the subject of making huge 1
165299	waves dbrand has shaken up the vinyl 1
167940	skin industry I don't even know if you 1
169769	can call it a vinyl skin industry 1
171239	anymore because like who else even 1
172560	exists at this point over a deep brand 1
174660	you can get precision cut genuine 3 on 1
176910	vinyl skins for your phone your game 1
179010	console your mobile device and you can 1
180599	use their fantastic configurator to see 1
183269	exactly what it's going to look like 1
185310	when it arrives mixing and matching 1
187019	finishes and colors as you see fit their 1
190350	products are affordable they ship 1
192209	worldwide and you guys can check them 1
193709	out over at D brand comm slash CES 2018 1
198380	so thanks for watching guys 0
200100	dislike or like get subscribed so you 0
202470	don't miss any of our CES content and I 0
205549	mean yeah none of us are ever gonna buy 0
208440	one of these but isn't it cool 0
