0	this portion of our CES coverage is 1
1650	brought to you by LastPass check out the 1
3419	link in the video description to start 1
5040	securing your passwords today we are 1
8580	here at Delaware they're showing off the 0
10740	new XPS 13 and naming scheme aside it 0
16949	looks pretty darn impressive the first 0
18840	thing we noticed about it is that it is 0
20609	way smaller they actually removed 24% of 0
25470	the overall volume and they did all of 0
27930	that while making some pretty impressive 0
30269	upgrades so the bezels are even thinner 0
33510	it weighs even less at only about 1.2 0
36780	kilograms and it packs eighty percent 0
39719	ball Paw Paw bonds so it's got an eighth 0
42719	gen up to Core i7 processor and due to 0
47010	Dells unique cooling approach they are 0
49410	actually claiming that they're going to 0
50760	be able to turbo this bad boy up higher 0
53370	and for a longer and they're able to do 0
56489	this thanks to the dual heat pipe dual 0
59280	fan cooling solution that's capable of 0
61469	dissipating up to twenty-seven watts 0
63390	that they've packed in here 0
65129	they've added their insulation to the 0
66900	bottom and the top to keep too much of 0
68549	that heat from being passed to the user 0
69960	and there are a bunch of other creature 0
71460	comforts as well ships with up to a 4k 0
73979	HDR touchscreen display with full 0
77189	coverage of Adobe RGB the IO is a pretty 0
79860	solid mix with a three-and-a-half 0
81299	millimeter Jack USB 3 a micro SD and 0
84290	dual Thunderbolt included Windows hello 0
88229	with an IR emitter for face detection is 0
90390	included and even better than just being 0
93090	included it's no longer at the bottom 0
94860	left so they're just tied for the worst 0
97409	placement of their webcam instead of 0
99509	being actually the absolute worst and 0
101520	they are claiming up to 19 hours of 0
104250	battery life on this puppy 0
105509	what's more the white version they say 0
108180	is smudge resistant they wouldn't let us 0
110460	actually put permanent marker on it but 0
112110	they say that a lot of things should be 0
113490	able to just wipe right off like the 0
116250	rest of Dell's 2018 lineup it includes 0
118380	Dells Mobile Connect software which 0
120689	allows you whether it's Android or iOS 0
122729	to take calls answer 0
124900	messages and on Android even use apps 0
127780	just on an application on your desktop 0
130030	wirelessly and they are expecting it to 0
132130	be available sometime in March so thanks 0
136600	to LastPass you're sponsoring this video 1
137980	LastPass is a key part of the way that 1
140500	we manage our credentials and 1
142530	information for events like CES the last 1
146290	thing you want to be doing in the middle 1
148180	of the night when you're trying to get 1
149320	an upload up is calling someone else who 1
152320	may actually be sleeping to try to get a 1
155320	password or trying to do a password 1
157750	reset when then maybe you're on a new 1
160000	device because sometimes we use 1
161320	unfamiliar laptops that are you know 1
163150	more editing capable when we're doing 1
164650	trips like this you're not logged into 1
166480	anything 1
167260	LastPass takes care of all of that it 1
169450	allows you to manage your password 1
170920	safely and securely with a one strong 1
173800	password and optional two-factor 1
176140	authentication so you never have to 1
177880	reuse a password again and it even 1
180670	allows you to easily share with other 1
182770	people so if that sounds good to you 1
184540	whether you're looking at the premium 1
185590	option for personally is the team's 1
187600	option for small business or the 1
189459	enterprise option for large business 1
191140	check it out today we're gonna have that 1
192700	linked in the video description so 1
194550	thanks for watching guys you just like 0
196540	this video you can hit that button if 0
197830	you liked it hit like get subscribed so 0
199690	you don't miss any of our CES 2018 0
201190	content and yes pretty much all I got to 0
203890	say this is a sleek little machine it's 0
206140	too bad about that webcam placement 0
