30	the days of Logitech rehashing the g15
2730	slightly with every new gaming keyboard
5130	are over their last flagship refresh the
8340	g7 10 plus was a huge departure from the
12090	usual and was their first mechanical
13860	gaming keyboard featuring Cherry MX
15780	switches and the g9 10 the one we'll be
18480	looking at today is a mechanical
20730	keyboard but instead of going with the
22740	industry standard Cherry MX or can't get
26010	enough allocation of cherry standard
27990	kyla they've worked with Omron on a new
30929	exclusive switch type Romer G mechanical
34590	switches want to know if the g9 10 will
37079	take your gaming to the next level watch
38700	on and oh yeah we've got our BenQ
41510	24-inch XL 24 20 G hybrid engine g-sync
45239	gaming monitor video coming soon
47039	lots of gaming stuff coming soon but for
49050	now the intro from December 13th to 20th
58199	2014 you can save on select Intel CPU
60899	Schnucks
61440	and SSDs with special holiday rebates
63600	from select retailers click now to learn
65610	more physical tour time this keyboard
69659	has everything a 140 layout with full
73770	anti-ghosting nine extra macro ready
76619	programmable G keys on the left and top
78869	of the WASD gaming area each of which
81330	can toggle between three different
82439	layers of functionality per profile a
84900	USB to cord with rugged strain
87119	protection media control keys in the top
89520	right including a rubberized volume
91860	wheel nice touch logitech gaming mode to
94470	disable the windows Keys backlight
96659	toggle not one but two included wrist
99270	rests wonderful rubberized angle
101790	adjusters on the bottom a freaking dock
103890	for your phone to sit in so you can like
106439	see in your peripheral vision while
107909	you're gaming and full RGB LED
111119	backlighting on each key so that you can
113579	see that while you're gaming as well so
116189	let's start with the switches shall we
118110	what a roamer G switches exactly well
121290	they were created in partnership with
122820	Omron so you can bet some science went
125700	into the development they feature a 70
128068	million keystroke endurance rating a
130520	one-upmanship fu to Razer sixty million
133110	if I
133530	I saw one they require 45 grams of four
136920	similar to Cherry MX Reds which are very
138930	popular among gamers they actuate after
141360	only 1.5 millimeters of travel compared
144600	to Cherry MX is 2 millimeters they have
147000	a wider base for theoretically less key
149250	wobble although I found them comparable
151290	to a cherry MX keyboard with decent key
153150	caps on it and they were made with
154980	backlighting in mind
156720	featuring a surface mounted RGB LED at
159810	the bottom for better reliability
161580	compared to key switch mounted LEDs and
163800	a light tube down the center of the
166290	switch for more even lighting and less
168510	spillover around the keys compared to
170880	Cherry's RGB design found on the k70 RGB
174920	okay line it's enough reading off
177120	logitech sight what do you think
181010	truthfully it took me a while to decide
183060	they're just so different from anything
186150	that I've used before like rubber domes
188670	as you apply pressure they hold hold
190920	hold hold them seem to collapse with a
193410	bit of a mushy feeling but tactile
195540	sensation but unlike rubber domes they
198690	don't need to be bottom doubt to
200760	register a keystroke making this one of
203160	the most responsive keyboards I have
205380	ever used and not just for gaming
208320	typing - so while hardcore Cherry MX
211170	enthusiasts myself included might not
213870	find the experience that satisfying
216780	especially if you like that crisp sound
219510	of MX blues or greens the performance is
224209	undeniable and for the majority of
226560	gamers out there who are still using
228329	rubber domes Logitech and Omron have
231060	successfully engineered a much better
233549	upgrade that will still feel comfortable
235620	and familiar so I consider the g9 tens
238500	Romer G key switches a smashing success
241310	it's just too bad that Logitech paired
243870	them with the worst key caps I've ever
245880	used in my life the very worst like not
248970	just oh I guess they could tweak this
250920	and optimize that to make it better next
252420	time but like Logitech scrap these
254840	Logitech calls these performance facet
257940	key caps and instead of being gently
260010	curved to embrace your fingers as they
262590	press down on them they have this harsh
264440	angular shape to them that makes about
267330	much sense to me as a shirt made out of
269699	square folded cardboard the idea is that
273030	they keep your fingers centered on the
274860	keys and also improve performance when
277139	they're struck on the edge this is meant
279060	to be beneficial for extremely high APM
281669	gaming but even though based on
284009	programmer feedback they've supposedly
