30	now it used to be that there was only
1740	one game in town for Blizzard licensed
5310	gaming peripherals but I've already
7500	unboxed one of razor's Blizzard licensed
10889	peripherals and here is another one this
13049	is the Razer Marauder this is a
14910	Starcraft 2 gaming keyboard and we're
17460	going to be having a quick look at it
18990	today first let's see what razer has to
21539	say for themselves on the box here so
23880	first of all 1,000 Hertz ultra polling
26580	so that means that the responsiveness of
28230	this keyboard should be about as good as
29849	it gets
31040	APM lighting system so we'll have to get
33480	into what exactly that is a little bit
35250	later on the fly' macro recording this
37410	is a feature that I love seeing on
39840	keyboards because it makes recording
41460	macros a little bit less tedious if you
43410	don't have to bring up a big old
44789	software program in order to do it
47100	laser-etched keys pool very nice and a
51059	braided fiber cable which we're pretty
52469	used to seeing on any quality Razer
54930	product here we go fully backlit keys
57500	interesting 7-foot lightweight and
59789	untangle cord oK we've covered that APM
62879	lighting system we've covered this to
64409	optimize key travel and spacing this is
66510	a little bit different so what razors
68159	basically saying is that the key travel
70140	which is the distance between being not
72180	depressed and being depressed not to say
74670	sad but rather pressed down is optimized
77939	for presumably RTS gaming integrated
81360	number pad ok that is a keyboard feature
85080	I suppose on the fly macro recording APM
87689	lighting system and elevated keys with
89520	optimized travel distance and spacing so
91049	it's a little bit redundant I guess what
92850	they mean to say is it is a keyboard ok
97770	actions per minute lighting so actions
100290	per minute lighting system that's it you
101970	know I figured that might be what they
103320	mean by APM but I wasn't really sure how
106439	you could have a lighting system that's
108320	actions per minute so we're going to
110369	have to find out exactly what that means
114619	so it looks like there actually isn't a
119280	seal on that side I'm not sure how to
121259	get this box open ah here we go so
124290	there's a seal on this side so it looks
125729	like you can actually only open this box
128098	one way so I'm going to take points off
130110	of the marauder keyboard because
132510	as a nun boxer I like to have the
134640	freedom to choose how I'm going to unbox
136890	my product now I'm just kidding I'm not
139500	going to take any money off the product
141150	because because the Box can only be open
144060	from one side that actually doesn't
146400	bother me very much all right so here's
148349	the marauder keyboard so Wow the box
150360	actually makes it look like if you see
152700	here it's more of a black keyboard but
156450	you can see quite clearly that it's more
158280	of a silver keyboard so if you were
160680	expecting a black keyboard then you
162720	better sort of adjust your expectations
164549	because this is the color scheme that we
167579	actually have going on here
169079	so this says armored assault and
172909	apparently armored assault means lifting
176700	up a tab and pulling out the lining box
181940	okay here we go with the included bits I
184829	mean razors great at presentations so
186720	let's see what they have to say for
187650	themselves first we have the Quick Start
