7520	welcome to my unboxing of the azio
9990	levitron mech for gaming keyboard this
12930	actually has some pretty unique features
14820	at a pretty unique price point and let's
17070	start with a warm welcome for our guests
20310	camera operator who is also interviewing
22380	for the tech tips assistant job so
24390	hopefully he does pretty well operating
25920	the camera here he's given me a kind of
27240	a weird look from behind the camera so
28770	that's a good sign
29610	okay why don't we start with the main
31770	features which are the cherry black
33320	mechanical switch keys so that is okay
37440	according to a CEO why don't we go with
38910	what they think widely believed to
40920	provide the best gaming experience
42440	fascinating okay
43800	modular design adds functionality by
46410	attaching modular accessories numeric
48510	keypad and macro key pad modules are
51060	included interesting and it has
53280	anti-ghosting so there is actually an
54899	anti ghosting zone I'm gonna go ahead
56399	and flip it over and so you can see your
58649	WASD zat x CQ e key zone is all anti
62850	ghosted so while this keyboard does not
65218	feature any key rollover by any stretch
67320	of the imagination it does have an anti
69930	ghosting zone which is where you're
71070	going to be pressing most of your keys
72510	in gaming so unless you type with your
74700	face you're probably not going to run
77280	into any issues as far as ghosting is
79350	concerned now the features are all
81060	listed here but what I'd really like to
82619	do is get the box opened before we just
86580	start listing features so I can show you
88320	where they are on the keyboard itself
91290	now one thing as you did ask that I
93690	mentioned on this unboxing is the use of
97070	cardboard packaging which is recyclable
100700	versus styrofoam packaging which is not
104820	recyclable so there you go I have
106619	mentioned it so you can clearly see the
108689	cardboard packaging present here the
110700	highly recyclable cardboard practic
112470	acajou okay Quick Start Guide is in
114869	color look at that so they show you how
116490	to install the software manual as well
118500	as installing the software to manage
121110	your profiles as well as your macro
122820	settings in key customization all right
125220	what else we got here okay so they all
126810	look at that it's like it's an actual
128549	color manual and it's a start it's a
130649	QuickStart guide that says more than
132470	plug the thing into the thing and then
135360	turn it on awesome okay so there is your
138420	manual as well as your soft Barlow
140069	you're going to
140470	download the latest software from the
141910	Ezio website here are some modular
145410	pieces including a number pad very nice
149580	it's got a good feel to it already
151870	calculator so there's a button to this
154420	open up the calculator program which is
155950	this is a good place for it I'm liking
157690	that okay there's the USB interface and
160000	there's the USB interface on the other
161800	side so I'll show you why it has to in
163330	just a moment here's a way - oh cool so
165910	you can attach it by an extension cord -
167950	so it basically comes with this is like
173080	the smartest thing ever actually I'm
175630	really impressed right about now so look
179410	at this you can either clip it directly
181540	to the keyboard or you can go ahead and
183760	plug it in by USB somewhere else
186630	these are like 15 bucks 20 bucks if you
189130	want to buy one so it comes with your
190750	keyword cool all right here's a little
193510	macro key piece so this one is going to
196630	clip on to the keyboard and it's gonna
198730	add some additional macro keys so I'll
200380	show you where those go I don't think
201459	those are mechanical but I'll let it go
203350	this time
203910	alright honestly I think it's a little
207010	bit overdone the whole partial
209380	mechanical versus full mechanical and
211540	how it's you know sinful to do it one
214420	way versus the other way think oh that's
217540	just my opinion nobody watches this
220150	channel to hear my opinion so I'll keep
222100	it to myself okay actually I lied people
226360	do watch this channel to hear my opinion
227860	so there you go that's my opinion
229269	this is the levitron neck for the first
232390	thing I noticed about it is it is built
234760	like a mechanical keyboard it's got some
237160	text to it it has some weight let's do
239470	the overall appearance first so we've
240970	got aw look at that two different stems
244239	so you can either put it up a little bit
245769	like that or you can put it up a lot
249850	like that or you can put it up not at
253930	all like like that we've also got rubber
257950	feet on the bottom so there's rubber bit
259630	along the bottom of both of these is
261130	actually like really nice little touches
262720	like this rubber feet here and then
266190	rubber feet here so if you have it
268960	running flat it is completely rubber
271300	grip affine so it's not
273180	move on your table regardless of what
275460	configuration you are using overall
279090	layout let's uh let's have a look at
280979	some of the custom keys we've got so we
282389	can turn the Windows key on and off here
283889	we can switch between macro profile a
