30	the Logitech G 911 truly care about
4740	competing against other wireless mice
6660	and chooses to pick a fight with the big
8880	boys the wired mice it might even get a
11490	little offended if you say for a
13469	wireless mouse when describing it so how
16800	does it fare stay tuned to find out
27109	Tunnel bear is the easy to use VPN
29460	service that lets you use the web as if
31230	you're in 20 different countries learn
32969	more and try to bear for free at the
34860	link in the video description let's
37110	start with the sensor the G 900 features
39329	the picsArt pmw 3366
42570	this is a big deal even the sticklers
44940	over on the esteemed overclock net forum
47190	voted in this poll that they would
49320	mostly prefer the 33 66 even beating out
52170	the 33 10 Edsel Yago our resident
54780	counter-strike guys stated that the 33
56789	66 felt true not affected in any way by
59579	the wireless and when he took flick
61710	shots he didn't feel like he was aiming
63690	over or under that's a good thing
65729	something to worry about when making a
67439	wireless mouse is the amount of power
69390	that you can deliver to the sensor from
71760	the battery this power must be split
74159	also to things like the wireless
75930	transmitter which you don't normally
77280	have to power not enough power to the
79439	sensor poor performance not enough power
81689	to the wireless transmitter poor
83820	performance just in a different way with
86070	input lag and whatnot this as far as
88740	I've been told is because the 33 66 was
91619	designed from the ground up as a
93270	wireless sensor and has just been fully
96180	realized now that doesn't mean that it's
98909	worse for Wired in any way at all that
101549	is not what I'm saying
102810	it just means that it's great for both
104610	and not limited to one speaking of the
107369	wireless transmitter the highly
108750	optimized 2.4 gigahertz connection in
111149	tandem with some design decisions in
113310	terms of where the transmitter is
114750	located where the battery is located in
117210	relation to where the transmitter is
118860	located and the various materials used
120810	throughout the shell and other
122340	components through throughout the entire
124439	build result in a very fast and
126630	supremely stable connection if you don't
129000	believe me that's actually a good thing
130860	doubt all claims but coming soon we have
133440	a
133620	tour of their design facility where they
135690	helped me benchmark the wireless
137129	transmitter against other competing
138900	wireless mice using their advanced
141599	equipment it's pretty cool for now their
144810	results will be on screen and you'll
146670	just have to deal with that let's move
148409	on to the click the left and right mouse
150360	buttons are based on a mechanical pivot
152519	design and also feature a spring tension
155250	system that ensure that you don't have
156629	to bend any plastic in order to just
158790	press the button which you shouldn't
160379	have to do and they also ensure that the
162450	response of the button returning home is
164670	quite fast
165840	the included Omron switches are also
167879	raised off of the main PCB onto their
170430	own and put at a slight angle so the
172950	button is pressing directly onto the
174720	switch and doesn't have to go through
176069	any other processes in order to actually
177989	press the switch there are some
180030	complaints here mainly from EDS all the
182370	buttons do have a quite noticeable
184049	horizontal shift and lift slightly if
186629	you pull up from under them I didn't
188280	notice the latter of these issues but
189989	Ed's will did because of the way that he
191819	holds his mouse his fingers actually
193829	reach slightly over the buttons and he
196379	uses the ledge there in order to
198329	actually lift the mouse a fairly
200190	interesting way of holding it so take
202500	that as you will for me I clawed which
204720	is fairly standard and I can feel the
206430	horizontal shift every single time I
208319	move it left to right not great but I do
210480	like the clicks overall and they feel
212250	satisfying and responsive physically
214889	it's designed in a way that it looks
216480	sufficiently different and futuristic to
