0	this video is brought to you by the
1709	Intel Core i5 46 70k unlocked processor
5069	add an Intel 520 series SSD to your
7830	Haswell system for unbelievable overall
9960	performance welcome to a very special
11700	outdoor unboxing I basically dragged a
14429	dining room table out into the yard with
16740	me and we are going to be checking out
18420	the tte Sports by Thermaltake nook ernow
21600	I originally thought that said knuckler
23310	and so my initial impression was really
26010	a keyboard that you operate like this no
31230	probably not actually
32250	so the Nook er is a plunger gaming
34920	keyboard which got me pretty excited
36329	about it and the reason for that is that
38309	plunger switches are a type of keyboard
40920	switch that I have never encountered
43140	before so they are a sort of like
46200	they're a membrane switch okay so to be
47940	clear these are not a mechanical switch
49739	but they have been engineered and
52260	integrated into this keyboard by the
54059	Thermaltake team in an effort to
56219	simulate the tactile experience of a
59879	mechanical switch with a membrane switch
62579	that is obviously coming in at a lower
65430	price point than what you would pay for
67500	a mechanical keyboard such as the mecha
69810	g1 which is also a thermaltake keyboard
72659	so in terms of included accessories
74369	we've got some replacement key caps so
78270	they give you WASD key caps as well as
81420	your arrow keys that you can replace on
83729	the keyboard as well as a key cap puller
85729	alright come in a little baggy like that
88200	we've also got the keyboard itself as
90180	well as a thermal take TT esports battle
93509	dragon sticker and then the manual which
95700	hopefully you don't need for a keyboard
97259	because I'm going to tell you everything
98880	you need to know about the nutter in
100740	this particular video it has a couple of
103439	unique features okay so there's the
104850	plunger switches which are kind of like
107460	what they're saying and I haven't tried
108869	them yet I haven't touched this keyboard
110670	yet what they're saying is that it's a
113310	lighter mechanical switch feeling at a
116329	lower cost it's only 15 million key
119700	presses for the total sort of rated
122729	endurance compared to 50 million for a
124770	Cherry MX which but they should be a
127710	lighter and therefore more comfortable
129568	for some people now there's a couple
130889	other unique things check out these S
132540	buttons here
133590	those actually changed the repeat rate
136200	of the keys so you can go anywhere from
138810	1 X - 8 X by holding function s1 s2 s3
141780	s4 this looks like a feature that was
144360	actually built specifically for one of
146160	their sponsored gamers which is very
147720	cool because a lot of companies talk
149760	about how they work with sponsored
151560	gamers to design their peripherals but a
153840	lot of the time it really feels like the
155250	company designed the peripheral and then
157290	went and searched for gamers to put
158910	their stamp on it not going to name any
161610	names of course so I'm a plunger switch
164970	offers response feeling like a
166769	mechanical switch enhanced anti-ghosting
169019	function look for up to 12 keys with USB
170970	and 16 keys with ps2 oh yeah and that
173190	repeat rate changer only works with ps2
176420	plunger switch enables excellent gaming
