30	we have had all sorts of bizarro
3389	keyboards through the lab lately from
5250	super economic to super ergo no thank
8639	you but the one thing that all of them
10950	have in common is they're just not that
15599	cool to be fair the Kinesis freestyle
18869	edge isn't uncool it just lacks the wow
22380	factor of the more flashy mainstream
25019	keyboard options that are out there so
27599	then introducing the latest iteration of
31050	the infamous Peugeot Doc's
32700	easy keyboard a no compromises
35760	ergonomic keyboard that actually looks
38160	as good as it feels and for the first
42030	time ever now comes with user
44040	replaceable key switches today's video
48210	is brought to you by ZOTAC ZOTAC ZBOX
51510	pcs are compact and they have different
53940	variants that are great for applications
56309	like streaming and gaming check them out
58710	at the link below
60810	[Music]
68730	looking at it beer godox easy is kind of
71530	like a mashup of two boards from rival
74470	Orgel board maker Kinesis it's a split
77410	keyboard like the freestyle edge but it
80230	has thumb clusters and ortho linear keys
83290	like the advantage - it's a small 76
87310	keyboard which lands it somewhere
89050	between a 60% and a 10 keyless so
91780	there's no function row but it does have
95020	navigation keys wherever you decide to
97720	put them now since ergo dock started out
100330	as an open-source build your own board
102520	company customizability is in the easies
105100	DNA they include F and J key caps that
108910	don't have tactile guides in case you
110920	plan on rearranging the letters in a
112660	Dvorak or colemak configuration and even
116260	if you order your board with a legend on
118600	the key caps which you're not even
120520	required to do some keys are still left
123610	on mark so as to not be confusing
125920	after you customize your layout and
128669	customize you will because the default
131800	layout is pretty different for example
136150	the backspace is now more easily
138310	accessible over here beside the a key
141010	while the apostrophe is way down here
144400	under the Z that is too far for me I'm
147970	very possessive of my apostrophe key now
151870	for his part James our writer actually
154270	went through nine iterations before
157030	landing on the perfect layout that
160060	sounds like a lot of work but that high
162550	number actually just goes to show how
164620	easy it is to tweak the configuration
167200	just use the online configurator tool
169750	and flash the firmware to save it right
172120	on to the board and while you're at it
174280	you don't have a ton of keys on this
176709	thing so you'll probably want to take
178420	advantage of at least a couple of the 32
181860	available layers which you can switch
184840	between in some pretty cool ways like
187420	switching only as long as you hold a
189700	particular key down or switching layers
193000	but only for a single key press kind of
195880	like how shift works on your phone all
198220	this customization does mean that
200849	yes this board can take some time to get
204749	used to especially if you're not used to
207299	ortho linear or non staggered keys which
210450	I guess then brings us into economics
212280	the split board lets you tilt each key
215340	module to keep your wrists from bending
217170	outward so that's good but if you want
219750	to cut out wrist extension you'll need
221909	the nice and solid but sold separately
224849	silicon fuzz collect I'm sorry excuse me
227489	our wrist rests and same goes for
230340	battling pronation you'll actually need
232439	the ted kit for another 30 bucks extra
235590	it's not cheap but the legs are metal
239310	making them nice and durable the cute
241469	little dipped feet are available in
242969	white or black to match the color of
244949	your board once it's installed you can
247019	tilt each individual leg through
248909	ratcheted steps or using the included
251400	washers step lessly it takes longer to
254819	set up than Kinesis is also sold
257130	separately lift kit but the end result
259560	is more versatile and feels more quality
263310	in fact overall build quality has a lot
266250	to do with the easies cool factor it
268620	doesn't look like it was made in the 90s
271110	like many other organ ama keyboards and
273449	that beauty is more than skin deep the
276150	key caps for example are made by
277740	signature plastics the printed set is
280289	double shot injected ABS plastic with a
282599	lower profile than most key caps and a
285690	rough and surface finish on the top so
287970	they don't get that gross shiny look as
290070	they wear out and the unprinted set is
292590	PBT with a special bonus as well since
296099	there's no reason to move them around
