8330	the Phoenix Art Tour is a full-size
10830	minimalist designed keyboard complete
12900	with gold-plated Cherry MX brown
14580	switches click the link in the video
16350	description to learn more all right are
18390	you ready for this
19140	I'm good to go I'm ready it's a good
22050	thing you didn't show me this during job
23550	interviews
24300	I know thanks for the specs mantis well
35940	no you had your you to follow it hours
37620	make your USBs week that focus what it
40860	was shot on so it's one of those flip HD
43829	like all-in-one vertical cameras are you
46469	sure it's a Flex HD maybe not HD it's a
48989	blimp I remember it wasn't just the D
51449	haha some games where this helps in
55379	games really easy face yes you
67140	definitely need in Cairo for legally yes
69320	no wife and I are just talking about the
72180	lights on the num lock and the caps lock
74280	keys oh right easy to so interesting
77400	they're bright and easy to see look at
81930	your hair I know some things never
85049	change dude like I want to come across
86939	the runway who shot this could they not
90060	tell it wasn't focusing that's my mom I
92430	don't even know if those head screens on
93930	the tag so maybe not they might have I
97829	don't remember very nice carry oh how
99869	many times you're gonna say this
100650	particular keyboard next well probably
102600	quite a dual layer PCB that's just
105299	meaning a higher quality I can see that
107759	so right
108659	I feel like I'm enjoying the boxing like
111420	and the icon makes no sense it doesn't
114210	help at all anyway you don't
116820	accidentally press wind along
118850	your game a video game look at that hair
123200	how many cowlicks is that you know
131720	what's scary about this is I see hints
135260	of my own unboxing style yeah like
138739	talking to the camera person be like so
140600	come on oh yeah it's a very nice
143720	carrying case the duck gives you with
145790	the cord the first thing I notice is
148069	that dead-ass red pixel in the middle
149750	that's what I know yep
151310	this is just a cover it's not actually
154069	like a bossy finish
155300	thanks thanks tips why would I think
160550	that's what it is hahaha especially when
163519	I take the whole thing it's like there's
168080	my magic glossy paint removal hey I've
172340	seen this keyboard yes few times which
175940	one is this so this is all of them
178250	essentially this is the one that was in
179660	the mineral oil video this is the one
181250	that I repaired is one with all the
184010	signatures on the back yep yep
185630	so it's bare right now but all the
187100	signatures come in later okay I do like
189799	the ducky style feet though bro let's
191480	talk seriously for a minute very good
193790	well they all one of them is piece of
195530	4.0 divers all around up here the red
198320	part oh wow just because you didn't
200959	notice they were under the red they were
202280	under that well I'm glad you covered
203780	that for me verbally I couldn't see this
206299	is nice gold plated USB cable oh the
209600	gold plating doesn't actually help
210859	transfer speed at all all the gold
212780	plating is for is a stable connection
214489	absolutely oh let's rub against each
216709	other and make a better direction
220099	I'm sorry so I mean the gold on the
226530	outside of the connector there's there's
229049	no data you know this you know this now
231019	which is why you're laughing at you now
233310	I had looked this up at the time and
236310	found some article that was like it's
237840	better for a more stable connection and
240030	then I said it and when I wash this back
241980	like a couple days ago it's just like no
243629	no why I mean it at least you can take
248909	solace in that
250109	this was never published on the Internet
252269	until now are you gonna tell me what
256589	color these are this particular color
258180	ticular give your w a s and D keys Oh
261329	the W a s and B don't call it thanks D
265340	and not that you can read them just kind
267810	of like you know what's nice and flashy
270060	you saying yeah these keys are just the
273240	ducky branding keys these can be
275370	replaced with really any of the general
277800	form factor keys on the keyboard are you
279630	not you know if you folks out there at
284909	home believe that you better go watch
286500	his ultimate key cap replaces yeah I'd
288419	be up yeah much better
289830	our most unexpected 1 million view video
292080	yes thanks to its somehow came from this
296330	you hear that audibly hear you got that
300720	right at least nothing really happens
302729	right away but once I get deep enough
304699	hear that click you hear an audible
309780	feedback when I'm Dupin I I'm ducking
312000	the innuendo yeah if you just go down
314810	you can not much delay before you can
320009	press that key again it's nice
321539	functionality good for typing good for
323340	gaming good for what kind of bookkeeping
325380	problem what else is there what do you
327659	do with a keyboard just get packaged
331190	goodbye what are you even talking about
334190	I don't know and that'll be it thanks
336080	for checking in i forgot the name
340810	hahahaha
343370	okay i got a pro tip for the amateur and
346100	boxers out there that pull that this is
348620	what i used to do
349490	i'd have the box ready already so I
351590	could read off it no that makes sense
353320	okay now it's not actually done it's not
356240	done there's more of this
357770	yes oh really because I realize after I
360110	was done filming I was like I need to
361280	say more stuff so just added another
363260	part two on it instead of refill mning
365450	and maybe doing my hair you do realize
367400	you already did the outranks yep
