30	for a limited time only by an Intel Core
2009	i5 or Core i7 CPU and get a free
4710	three-month subscription to iRacing comm
6810	available from participating retailers
8970	click the link in the video description
10230	for more details welcome to my unboxing
12750	and first look at the G 700 s from
15509	Logitech the key difference between
17760	their 7 Series mice so the G 7 the G 700
21480	and now the G 700 S is the fact that
24210	they are all wireless but gaming grade
26789	the G seven was really the first Mouse
29130	that was marketed as a gaming grade
30990	wireless mouse and the difference
32399	between gaming capable wireless mice and
35340	non gaming capable ones is all about the
37680	latency so creating a wireless
39960	connection that is low latency enough
42329	the gamers aren't going to notice any
44340	input lag from the mouse is key to being
48329	able to well being able to be responsive
50610	enough particularly for FPS gamers in
53340	order to really with a straight face
54660	call it gaming grade now Logitech has
57870	recently upgraded a few well pretty much
60660	their entire G series of products with
63420	this S suffix at the end of it so the S
66659	is for I don't know for supreme
70290	performance of surface or something like
73020	that and what they've really done is
74130	they've upgraded the materials that
75630	they're using on the products themselves
77630	covering them in a hydrophobic coating
80119	upgrading things like the grippy sides
82700	upgrading everything about them to make
84750	them last longer and feel better on the
87119	user's hands so they shouldn't get all
89100	sort of greasy and sweaty and nasty and
91500	they should be easier to grip and I
93030	shouldn't peel back in fact my only
95100	complaint about one of my favorite my
97140	sever the G 9 was the fact that my grip
99450	peeled other than that it was
101150	near-perfect
102509	so let's see what else Logitech has to
104220	say for themselves about this 200 all
106530	the way up to 8200 dpi giving you the
108630	ultimate in flexibility so that's 12
111329	mega pixels per second and image
112799	processing and the maximum speed of up
114990	to 4 meters per second so 4 contacts
118590	that's tested on popular gaming mousepad
120390	surfaces so for context guys I'd be like
122689	if I was moving my mouse this fast like
126390	probably faster like no one actually
128008	well ok maybe someone actually moves
130169	like that over a very short distance but
132000	should be able to handle it let's go
134340	back up back to the box over here
136130	sixteen bits per axis up to a thousand
138900	reports per second that's great for a
140460	wireless mouse there's only a few that
141960	are capable of that and durability of 20
144180	million clicks for the buttons and 250
146190	kilometers for the feet although
