0	the easy way to do this video would be
2220	to explain that the sensei wireless is
4319	basically the sensei with like an
6330	upgraded sensor that goes up to 8200 CPI
8670	natively and 50 CPI increments and up to
10889	16,000 400 TPI with the SteelSeries
13170	Engine 3 software it's and fancy
14610	interpolation although I doubt any of
16500	that would be necessary since you can
17730	own 1440p monitor anything that high
19590	will be beyond being able to control but
22710	they also removed a wire so I guess
25380	we'll need a full video for this with
33960	its factory tuning and data center DNA
36300	and Intel 730 series SSD is an amazing
39270	choice for gamers and performance
41129	enthusiasts so let's open up with a
43649	physical tour of the mouse my immediate
45719	impression was one of relief that
47789	SteelSeries has ditched the glossy
49920	plastic of the sensei and gone back to a
52289	soft touch finished like the zai in the
54390	iqari series bravo steel series hard
56969	plastic is sucky and I really like this
59070	implementation now a tour of the buttons
61289	they are all completely remappable with
63719	a pretty comprehensive list of
65220	individual commands or macros that can
67740	be set up with no delay a recorded delay
69390	or a predetermined delay and starting on
71850	the top we've got your standard left and
73710	right click with a middle click scroll
75150	wheel that has a very satisfying
76439	resistance as you scroll and a great
78540	rubber texture some people will be
80520	turned off by the fact that that scroll
82170	wheel does not include tilt but
83820	personally I find till a little bit hard
85500	to use without accidentally clicking it
87090	anyway so I don't miss it and then
88829	finally the last button on top is a CPI
90840	toggle that you can use in a sniper mode
92400	if you want or reprogram it to whatever
94259	else if you want anyway on the sides the
97079	mouse is ambidextrous so there are two
98880	buttons on each side for your pinky or
101310	your thumb depending on whether you're a
102930	righty or a southpaw and then finally on
105390	the bottom you've got the sensor
106560	charging contacts for the internal
107970	battery a power switch a connect button
109380	that I never had to use and finally a
111210	cable lock for when you want to switch
113490	to Wired mode a nice touch in terms of
117090	customizability the mouse has three
119189	different lighting zones each of which
120570	can be used to indicate battery status
122490	with green yellow and red color codes or
125100	be configured to glow any color you want
127200	with either a steady glow or a breathing
129360	effect the zones are on the sides of the
131400	scroll wheel the SteelSeries logo at the
133590	back
133980	and finally around the outside of the
136980	base station where the mouse goes on top
139019	of it speaking at the base station I
140580	actually really like the implementation
142680	here there's only so much you can do to
145170	make a mouse feel premium without making
148140	it heavy
149310	so SteelSeries have thrown that
151319	premiumness into the base station it's a
153480	flat charging dock that has a really
155880	high end you know nice heft to its
158220	construction with a thick aluminum top
159989	plate and then a great rubberized grip
161970	II bottom so it's not going to go
163260	anywhere it's flat so the mouse is very
