30	this may be the most expensive keyboard
3030	we've ever tested individually
6450	addressable RGB keys no Cherry MX
11550	switches with custom key caps no
15770	Thunderbolt 3 pass-through with triple
18900	OLED displays no it no it's got none of
22949	those things
23880	it's the completely wooden handcrafted
27330	in Japan keyboard from Tekoa
29880	priced at nearly 1400 US dollars but is
36750	it at all worth it or does it get
39890	chopped by this $40.00 Chinese keyboard
43950	that we bought on Amazon speaking of
47370	things that are worth it by the way
48870	Tunnel Bear tunnel bear thinks the
50789	Internet is better when everyone can
52710	openly access the same content so try
55590	total bear for free over at tunnel bear
57449	comm /l TT
61150	[Music]
68820	available in either maple or walnut from
72040	responsibly managed forests we're gonna
74320	start with a look at the illustrious
76630	Kokua keyboard key meaning both wood and
79869	tree in Japanese see what they did there
82810	simply put it's a work of art the 89
86049	gently concave key caps are cut from a
88539	single panel of wood with their relative
91149	position preserved such that the natural
93490	wood grain pattern is visible on the
95710	finished board the keys contrast subtly
99189	with the chassis which is one solid
101500	piece even on the back where they cared
103569	enough to carve a recessed bevel so that
106149	the board is easy to pick up off the
107860	desk turning now to the poop end of the
110380	stick we've got the $40.00 cooler tron
113380	other than the fact that this board is
115270	indeed made of wood its appearance is
117869	not that similar to the a koa key ok
123100	hand-carved sustainable bamboo sure I
126549	guess but there's no cohesive color
129699	scheme and the keys chassis pieces and
132820	the media keys have no consistency in
135010	the direction of the wood grain then
137200	making matters worse at the top of the
139359	board the wood motif is disrupted by an
141820	obnoxious cooler Tron sticker and a
144549	nearly useless power indicator LED that
147940	I would gladly trade in for caps and/or
151299	num lock lights something her koa
153459	managed to include and in a way that
155650	actually enhances the look of the board
157870	let's go back to the Hikawa and look a
160569	little closer
161380	the laser etched letters on the tree
163630	board have amazingly sharp corners like
166420	they're they're perfect to the eye the
169180	tactile guides are both elegant and
170950	functional and the key caps are aligned
173260	in perfectly straight rows one of the
175660	weakest points of the cheaper boards
178030	looks on top of that poor key
180639	stabilization makes the spacing between
182500	letters uneven assaulting your eyes and
184840	that impression has only made worse upon
