960	[Music]
6649	welcome to a much demanded unboxing this
9750	is the Corsair Vengeance k60 so yes
13139	Corsair finally has pretty much a full
15599	set of peripherals they've got your
16770	speakers your headphones
18150	your keyboards and your mice actually I
20340	have a mouse here too but we're not
22560	doing that one just yet so we're going
24900	to show the keyboard so Corsair is all
26970	about gaming we've known this from
28800	pretty much day one when when it was
31920	just memory and then oh I know I'm gonna
36660	get it wrong when I try and tell you
38460	guys it's sort of the order of the
40020	categories they expend it into but power
42690	supply and then cases and then cooling
46950	and then audio I'm probably missing
51510	something Corsair does so many things
54149	these days but what is most exceptional
57059	about Corsair in my opinion is the fact
59370	that they do pretty much everything well
61320	I can't think of very many course or
63690	products that have had the opportunity
65369	to play around with or to check out that
68189	I haven't been really impressed by so
69990	let's go over what are the overall specs
72390	of this keyboard first so this is a
74729	mechanical keyboard yes pretty much any
77070	serious gamer or serious typist and
79409	they're gonna tell you mechanical key
80729	switches are pretty much a must on any
83640	high-end keyboard so these are using
85200	cherry MX red mechanical key switches
87150	really which which mechanical key
90000	switches feel good to you comes down to
91560	the personal preference of the typist
93570	themselves soms are louder and some are
95909	less loud than others some have sort of
98100	a longer travel time to register the
100259	keystrokes jump some have the shorter
101610	travel time Corsair believes that the
103680	red key switches are ideal for gaming so
106350	that's why they've used those for this
107670	particular keyboard this one this is
110670	more of the FPS version of this keyboard
112890	comes with contoured textured WASD key
115259	cap so you can see those right here I'll
116610	show you those once we open it up full
118619	key matrix anti-ghosting so
120149	anti-ghosting means that no matter what
122850	combination of easy press you're not
125189	going to get any accidental unintended
129380	keystrokes registered this can happen
131810	with less premium keyboards and what
136190	what it tends to occur is while you are
139190	typing quickly and you press two or
141770	three keyboards together while you're
143600	while you're going while you're in the
145160	middle of something it'll actually
146360	register an extra keystroke because of
149570	the way that the keyboard is
150890	communicating via USB to the computer
153080	itself so they've implemented
155150	anti-ghosting as well as twenty key
158300	rollover so you hear a lot of talk about
160340	how many key rollover so what does that
162800	mean we've seen up to n key rollover on
165800	ps2 keyboards and Corsair says they
167960	could actually implement and he roll
169820	over with USB on this particular
172940	keyboard which is a very neat feature
174640	however they went with 20 because the
177470	reality of it is unless you're operating
179390	your keyboard like with your arm and
180980	your face you're probably not gonna
182660	press more than 20 keys at a time so
184760	what that rollover spec means is how
187010	many keys you can hold down come on
190880	let's see how many I suppress at a given
193040	time before they will stop registering
198020	each new one that you press down so for
201350	gamers it's fairly common to be holding
203330	down shift and tab and jumping and I
206720	don't know maybe you're playing like an
208100	older style game and maybe you're
209330	actually using these for you know your
211580	jump in your pouch or something and then
213410	this is you're moving around maybe
214370	you're playing a 2d side-scroller it's
215990	fairly common for a gamer to hold down
217670	eight or more keys at a time whereas the
220250	normal the normal roll over for like
223340	cheaper keyboards does not allow you to
225560	necessarily have every one of those
227480	keystrokes be registered so that's why
229190	that's an important feature what else we
231110	got here so the contoured textured WASD
233180	key caps I'll show you those in a minute
234470	they're right here I haven't forgotten
236180	bulky matrix uhm anti-ghosting yeah
239120	multiple key presses won't jam you up
240980	let's every keystroke get through
242510	professional-grade brushed aluminum
243890	chassis with laser etched keys love that
245630	I'll show you guys that closely soft
247910	cushioned contoured wrist rest and I'll
249590	show you that in a minute as well I just
251360	want to make sure that I do not forget
253610	anything here because this is a keyboard
256279	that a lot of people
259108	requested that I take a look at so I
260879	don't want to miss anything so here is
263310	the wrist rest so what makes this the
265560	more FPS oriented product versus the k9t
268500	which is more of the MMO oriented
271710	product and I will show you guys what
273270	makes it that this guy is all about
276060	comfort when you're using your left hand
278250	to game which here we go is facilitated
286860	by things like this wrist rest guy right
289650	here which I'm just going to try to
291930	figure out how to put back together
293279	because I actually do not know okay and
302759	this guy goes under here so it's got a
305009	bit actually I'll show you this first so
306240	it's got like a soft kind of rubberized
307919	feely thing here with see this little
311520	dimply surface I guess that's to help
313289	keep a sweat from accumulating and
315419	making the surface slippery which is
316770	kind of nice this parts hard plastic as
318930	well as this part right here this serves
320580	as a carrying case for the keys that you
322949	are not using at any given time and then
324990	there are latches right on the bottom
326669	here I'll show you those once I've got
327870	it attached here that allow you to put
330089	this right here so that your hand rests
332159	comfortably right here for gaming the
334169	MMO version of the keyboard has a bunch
335940	of buttons over here which the FPS
337289	version doesn't have and the MMO version
339240	doesn't come with this rest which is
341639	designed especially for FPS gamers whose
343919	Mouse hands are over here and whose
346080	keyboard hands sit right here
348120	it can be quite easily attached and
349740	detached so you just pull it off like
352229	that and then I'm just gonna show you
353789	guys the spot on the bottom where it
356580	goes just like that while I'm on the
359250	bottom here I'll show you guys what
360360	you've got in terms of adjustable feet
362610	for your comfort so you can raise up
364469	your keyboard a little bit you can slant
366360	your keyboard this way if you want you
368370	can slant your keyboard this way if you
371729	want and if you're not using any of the
373319	feet you've got four rubber feet here as
375330	well as two rubber feet here to keep the
377430	keyboard from slipping around although
378839	it's quite heavy so I don't think you're
380430	gonna have too many problems with it
382199	moving around uh ninten
383460	chili comes with a two-year warranty I
385440	just want to show you guys the included
388550	connectors so we've got the keyboard USB
390840	as well as the built-in hub USB so the
396599	hub has your thumb looks like it's just
400169	the one okay so that's where you plug in
402090	your mouse
403370	alright so let's uh yeah let's have a
406470	look at these keys here so what you want
408150	to do is you take your included key
410009	remover which was in here I don't know
411900	if you guys let me take that out and you
413520	just pull off the cue like this you can
415110	clearly see the cherry red switches so
417720	named for their red color alright and
421199	then you just go ahead and take your
423139	contoured rubberized keys and you
426180	replace your WASD now check this out
428310	this is what they mean by contoured each
432030	one of these keys is actually oh shoot I
434460	just installed that one upside down
435919	that's the thing about s is it's hard to
438599	tell which way it is intended to be
440699	oriented so there you go put those on
443310	like that so now you can very easily
445380	feel without looking can you see from
447389	that angle how these are actually curved
450180	towards the center there you go yeah now
452250	you can see that so these are contoured
454229	so you can very easily feel which are
456120	your WASD keys and which ones are not
458639	and the same goes actually for the
461250	number keys up here you can see that one
