0	there are literally thousands of
2689	imperfect choices for mechanical
5100	keyboards out there and you can
7529	customize them a little add some o-rings
10260	here change some key caps there Luke
12540	actually did a guy welcome to the
14009	ultimate mechanical keyboard guy but
16079	unless you have the know-how to actually
18510	build one yourself you're at the mercy
21449	of those that do or are you what if I
26189	told you it didn't have to be like that
28830	what if I told you that there are more
31679	options out there than you might have
33809	realized what if I told you that today's
37469	video is brought to you by I fix it
39540	I fix it's Pro Tech tool kit gives you
41489	the tools you need to tackle any
42899	electronics repair challenge visit
44730	ifixit.com forward slash line is at the
46710	link below and get yours today do you
48930	want to keep or use any switches that
53370	you like it could be all right so let's
58320	go over what we set out to accomplish
60510	here because when Anthony first came to
63390	me with this idea he had like these
65010	grand visions of programming
67760	microcontrollers and soldering diodes
70380	using 3d printed or laser-cut chassis
73680	and a bunch of other things that are
74909	really cool but this is our first rodeo
78780	so we decided to focus on getting one
80820	working first so with that in mind then
83640	we narrowed our search to parts that can
86189	bolt together relatively easily meaning
90060	though that we can expect to pay a
91470	premium looking at what's available
92909	there's a lot of ten keyless components
95850	out there but then even more options for
98460	the smaller and simpler 60% layout so we
102240	settled on that starting at mechanical
103950	keyboards comm for some essential
106020	supplies Cherry MX brown RGB key
109380	switches three choices of beautiful
113270	anodized aluminum cases to put
115439	everything into and then a selection of
117750	Springs that we can use to actually
120049	customize the feel of our switches so
123149	this way we could make the caps lock key
125549	or the function key more difficult to
128340	press accidentally and then we could
130348	even reduce the actuation force of keys
132720	like lwas
134099	or even the whole alphanumeric set to
136140	improve our speed while maintaining that
138599	satisfying tactile bump of the Cherry MX
141329	brown like the beauty here whoop is that
145200	the sky's the limit for customizability
150180	but while it's really fun to play around
153629	with a bag full of cherry MX is a
156079	chassis and a bag of key switches a
159329	keyboard does not make so we are going
162720	to need to wire them up now some folks
164609	do this manually but a PCB preferably
168900	one that is well documented is much
171120	easier not to mention a lot tinier now
174120	there are lots of options out there but
176370	for our project we turned to banggood
178560	where we found not only this nice wooden
181139	case actually this thing's really nice
183030	and wrist rest but also Satan no
186569	seriously
187200	we found the satan GH 60 a fully
191129	programmable keyboard PCB that seems to
193349	check all the essential boxes
194909	it's got macro support and RGB variant
198030	and it is widely used in the DIY
200220	community as a budget option so with the
203609	power of satan and a plate to go over it
206489	we started to write I said no soldering
211470	for this video so we just really wanted
213959	to make that Satan joke so maybe we'll
215370	do a follow up later with the Dark
216599	Prince G h-60 anyway after some more
218790	digging for a plug-and-play option we
220590	found this on a store called kbd fans
223290	the geek customized GK 64 from semi tech
227669	this PCB is pre-built with hot swap
230459	terminals so not only will we not need
232620	to solder anything ourselves we can much
235440	more easily pull our key switches if you
237840	want to adjust the springs or replace
239790	them altogether and it gets bonus points
241680	for using a detachable USB type-c
